timestamp,cpu_usage,cpu_freq,ram_usage,temp
1777808656.355476,0.0,1500.0,13.6,44.65
1777808657.3561897,0.0,1500.0,13.6,45.75
1777808658.3569033,0.0,1500.0,13.6,44.65
1777808659.3576086,0.0,1500.0,13.6,45.75
1777808660.3584018,0.0,1500.0,13.6,45.2
1777808661.3591702,0.0,1500.0,13.6,46.3
1777808662.3599162,0.0,1500.0,13.6,45.2
1777808663.3606312,0.0,1500.0,13.6,46.3
1777808664.36138,0.0,1500.0,13.6,44.65
1777808665.3621068,0.0,1500.0,13.6,45.2
1777808666.3628943,0.0,1500.0,13.6,46.3
1777808667.3636618,0.0,1500.0,13.6,44.65
1777808668.3644211,0.2,1500.0,13.6,46.85
1777808669.365168,0.0,1500.0,13.6,44.65
1777808670.365896,0.0,1500.0,13.6,45.75
1777808671.3666024,0.0,1500.0,13.6,46.3
1777808672.3673797,0.0,1500.0,13.6,45.2
1777808673.369021,0.0,1500.0,13.6,46.3
1777808674.3697882,0.2,1500.0,13.5,45.2
1777808675.3705547,0.0,1500.0,13.5,45.75
1777808676.3712816,0.0,1500.0,13.5,44.65
1777808677.3719866,0.0,1500.0,13.5,45.75
1777808678.372757,0.0,1500.0,13.5,46.3
1777808679.3735166,0.0,1500.0,13.5,46.3
1777808680.374245,0.0,1500.0,13.5,45.2
1777808681.374952,0.0,1500.0,13.5,46.3
1777808682.3756533,0.0,1500.0,13.5,46.3
1777808683.3763454,0.0,1500.0,13.5,45.2
1777808684.3771467,0.0,1500.0,13.5,45.2
1777808685.377885,0.0,1500.0,13.5,45.75
1777808686.3786082,0.0,1500.0,13.5,46.3
1777808687.3793154,0.0,1500.0,13.5,44.65
1777808688.3800159,0.0,1500.0,13.5,45.2
1777808689.3807225,0.2,1500.0,13.5,45.75
1777808690.3814695,0.0,1500.0,13.5,44.65
1777808691.3821933,0.0,1500.0,13.5,45.75
1777808692.3829045,0.0,1500.0,13.5,44.65
1777808693.383603,0.0,1500.0,13.5,45.2
1777808694.3842976,0.0,1500.0,13.5,45.2
1777808695.385027,0.0,1500.0,13.6,45.75
1777808696.3858209,0.0,1500.0,13.6,46.3
1777808697.38655,0.0,1500.0,13.6,46.3
1777808698.3872733,0.0,1500.0,13.6,46.3
1777808699.3879788,0.7,1500.0,14.1,45.75
1777808700.3887835,0.0,1500.0,14.1,45.75
1777808701.3894963,0.3,1500.0,14.0,45.75
1777808702.3902845,0.0,1500.0,14.0,46.3
1777808703.3910086,0.0,1500.0,13.9,44.65
1777808704.3916514,0.0,1500.0,13.9,45.75
1777808705.3923445,0.0,1500.0,13.9,46.3
1777808706.3930469,0.0,1500.0,13.9,46.3
1777808707.3936868,0.0,1500.0,13.8,45.75
1777808708.394396,0.0,1500.0,13.8,45.2
1777808709.395064,0.0,1500.0,13.7,46.3
1777808710.395728,0.0,1500.0,13.7,45.2
1777808711.396353,0.0,1500.0,13.7,45.2
1777808712.3969738,0.0,1500.0,13.7,45.2
1777808713.3975873,0.0,1500.0,13.7,46.3
1777808714.3983114,0.0,1500.0,13.6,45.2
1777808715.3990366,0.0,1500.0,13.6,46.3
1777808716.3996758,0.0,1500.0,13.6,45.2
1777808717.400284,0.0,1500.0,13.6,46.3
1777808718.4009426,0.0,1500.0,13.6,45.2
1777808719.4015713,0.0,1500.0,13.6,46.3
